State,democratic_party_vote_share,republicans_party_vote_share,Democratic Candidate,Republican Candidate,Winning Party,geo_id,name,democratic_candidate_name,republic_candidate_name,X.1
Alabama,38,57,Kamala Harris,Donald Trump,الحزب الجمهوري,AL,ألاباما,كامالا هاريس,دونالد ترامب,
Alaska,36,55,Kamala Harris,Donald Trump,الحزب الجمهوري,AK,ألاسكا,كامالا هاريس,دونالد ترامب,
Arizona,45.6,45.4,Kamala Harris,Donald Trump,الحزب الديمقراطي,AZ,أريزونا,كامالا هاريس,دونالد ترامب,
Arkansas,33,58,Kamala Harris,Donald Trump,الحزب الجمهوري,AR,أركنساس,كامالا هاريس,دونالد ترامب,
California,65,35,Kamala Harris,Donald Trump,الحزب الديمقراطي,CA,كاليفورنيا,كامالا هاريس,دونالد ترامب,
Colorado,50,40,Kamala Harris,Donald Trump,الحزب الديمقراطي,CO,كولورادو,كامالا هاريس,دونالد ترامب,
Connecticut,49,40,Kamala Harris,Donald Trump,الحزب الديمقراطي,CT,كونيتيكت,كامالا هاريس,دونالد ترامب,
Delaware,46,36,Kamala Harris,Donald Trump,الحزب الديمقراطي,DE,ديلاوير,كامالا هاريس,دونالد ترامب,
Florida,43.6,48.2,Kamala Harris,Donald Trump,الحزب الجمهوري,FL,فلوريدا,كامالا هاريس,دونالد ترامب,
Georgia,46.3,45.9,Kamala Harris,Donald Trump,الحزب الديمقراطي,GA,جورجيا,كامالا هاريس,دونالد ترامب,
Hawaii,57,38,Kamala Harris,Donald Trump,الحزب الديمقراطي,HI,هاواي,كامالا هاريس,دونالد ترامب,
Idaho,26,55,Kamala Harris,Donald Trump,الحزب الجمهوري,ID,أيداهو,كامالا هاريس,دونالد ترامب,
Illinois,58,42,Kamala Harris,Donald Trump,الحزب الديمقراطي,IL,إلينوي,كامالا هاريس,دونالد ترامب,
Indiana,34,55,Kamala Harris,Donald Trump,الحزب الجمهوري,IN,إنديانا,كامالا هاريس,دونالد ترامب,
Iowa,39,51,Kamala Harris,Donald Trump,الحزب الجمهوري,IA,آيوا,كامالا هاريس,دونالد ترامب,
Kansas,31,47,Kamala Harris,Donald Trump,الحزب الجمهوري,KS,كانساس,كامالا هاريس,دونالد ترامب,
Kentucky,26,55,Kamala Harris,Donald Trump,الحزب الجمهوري,KY,كنتاكي,كامالا هاريس,دونالد ترامب,
Louisiana,38,52,Kamala Harris,Donald Trump,الحزب الجمهوري,LA,لويزيانا,كامالا هاريس,دونالد ترامب,
Maine,52,47,Kamala Harris,Donald Trump,الحزب الديمقراطي,ME,مين,كامالا هاريس,دونالد ترامب,
Maryland,64,32,Kamala Harris,Donald Trump,الحزب الديمقراطي,MD,ماريلاند,كامالا هاريس,دونالد ترامب,
Massachusetts,47,29,Kamala Harris,Donald Trump,الحزب الديمقراطي,MA,ماساتشوستس,كامالا هاريس,دونالد ترامب,
Michigan,46.6,44.2,Kamala Harris,Donald Trump,الحزب الديمقراطي,MI,ميشيغان,كامالا هاريس,دونالد ترامب,
Minnesota,48.7,41,Kamala Harris,Donald Trump,الحزب الديمقراطي,MN,مينيسوتا,كامالا هاريس,دونالد ترامب,
Mississippi,36,54,Kamala Harris,Donald Trump,الحزب الجمهوري,MS,مسيسيبي,كامالا هاريس,دونالد ترامب,
Missouri,41,54,Kamala Harris,Donald Trump,الحزب الجمهوري,MO,ميزوري,كامالا هاريس,دونالد ترامب,
Montana,39,57,Kamala Harris,Donald Trump,الحزب الجمهوري,MT,مونتانا,كامالا هاريس,دونالد ترامب,
Nebraska,37,54,Kamala Harris,Donald Trump,الحزب الجمهوري,NE,نبراسكا,كامالا هاريس,دونالد ترامب,
Nevada,45,44.9,Kamala Harris,Donald Trump,الحزب الديمقراطي,NV,نيفادا,كامالا هاريس,دونالد ترامب,
New Hampshire,50.3,43.2,Kamala Harris,Donald Trump,الحزب الديمقراطي,NH,نيوهامبشير,كامالا هاريس,دونالد ترامب,
New Jersey,40,41,Kamala Harris,Donald Trump,الحزب الجمهوري,NJ,نيوجيرسي,كامالا هاريس,دونالد ترامب,
New Mexico,47,40,Kamala Harris,Donald Trump,الحزب الديمقراطي,NM,نيومكسيكو,كامالا هاريس,دونالد ترامب,
New York,58,42,Kamala Harris,Donald Trump,الحزب الديمقراطي,NY,نيويورك,كامالا هاريس,دونالد ترامب,
North Carolina,45.4,46.1,Kamala Harris,Donald Trump,الحزب الجمهوري,NC,نورث كارولينا,كامالا هاريس,دونالد ترامب,
North Dakota,28,62,Kamala Harris,Donald Trump,الحزب الجمهوري,ND,نورث داكوتا,كامالا هاريس,دونالد ترامب,
Ohio,44,56,Kamala Harris,Donald Trump,الحزب الجمهوري,OH,أوهايو,كامالا هاريس,دونالد ترامب,
Oklahoma,30,61,Kamala Harris,Donald Trump,الحزب الجمهوري,OK,أوكلاهوما,كامالا هاريس,دونالد ترامب,
Oregon,45,40,Kamala Harris,Donald Trump,الحزب الديمقراطي,OR,أوريغون,كامالا هاريس,دونالد ترامب,
Pennsylvania,46.2,45.1,Kamala Harris,Donald Trump,الحزب الديمقراطي,PA,بنسلفانيا,كامالا هاريس,دونالد ترامب,
Rhode Island,40,33,Kamala Harris,Donald Trump,الحزب الديمقراطي,RI,رود آيلاند,كامالا هاريس,دونالد ترامب,
South Carolina,37,51,Kamala Harris,Donald Trump,الحزب الجمهوري,SC,كارولينا الجنوبية,كامالا هاريس,دونالد ترامب,
South Dakota,31,50,Kamala Harris,Donald Trump,الحزب الجمهوري,SD,داكوتا الجنوبية,كامالا هاريس,دونالد ترامب,
Tennessee,37,63,Kamala Harris,Donald Trump,الحزب الجمهوري,TN,تينيسي,كامالا هاريس,دونالد ترامب,
Texas,46,55,Kamala Harris,Donald Trump,الحزب الديمقراطي,TX,تكساس,كامالا هاريس,دونالد ترامب,
Utah,25,51,Kamala Harris,Donald Trump,الحزب الجمهوري,UT,يوتا,كامالا هاريس,دونالد ترامب,
Vermont,70,29,Kamala Harris,Donald Trump,الحزب الديمقراطي,VT,فيرمونت,كامالا هاريس,دونالد ترامب,
Virginia,49,46,Kamala Harris,Donald Trump,الحزب الديمقراطي,VA,فيرجينيا,كامالا هاريس,دونالد ترامب,
Washington,52,38,Kamala Harris,Donald Trump,الحزب الديمقراطي,WA,واشنطن,كامالا هاريس,دونالد ترامب,
West Virginia,34,61,Kamala Harris,Donald Trump,الحزب الجمهوري,WV,فيرجينيا الغربية,كامالا هاريس,دونالد ترامب,
Wisconsin,47.5,44.3,Kamala Harris,Donald Trump,الحزب الديمقراطي,WI,ويسكونسن,كامالا هاريس,دونالد ترامب,
Wyoming,20,53,Kamala Harris,Donald Trump,الحزب الجمهوري,WY,وايومنغ,كامالا هاريس,دونالد ترامب,
District of Columbia,,,,,,,,,,